RUN_KEY: v1.2.1_params:Decoder_withoutFlipTrans_batch_size:10_vocabThr:3_embedSize:512_hiddenSize:1024_totEpochs:3
[33.47s] Epoch [1/3], Step [1000/41412], Loss: 4.4625, Perplexity: 86.7020

[33.66s] Epoch [1/3], Step [2000/41412], Loss: 2.9304, Perplexity: 18.7344

[33.30s] Epoch [1/3], Step [3000/41412], Loss: 3.0159, Perplexity: 20.4075

[33.31s] Epoch [1/3], Step [4000/41412], Loss: 3.4239, Perplexity: 30.6878

[33.22s] Epoch [1/3], Step [5000/41412], Loss: 2.6136, Perplexity: 13.6478

[33.16s] Epoch [1/3], Step [6000/41412], Loss: 2.4967, Perplexity: 12.1427

[33.30s] Epoch [1/3], Step [7000/41412], Loss: 3.7072, Perplexity: 40.7387

[33.33s] Epoch [1/3], Step [8000/41412], Loss: 2.4881, Perplexity: 12.0380

[33.07s] Epoch [1/3], Step [9000/41412], Loss: 2.6031, Perplexity: 13.5060

[32.97s] Epoch [1/3], Step [10000/41412], Loss: 2.8645, Perplexity: 17.5406

[32.99s] Epoch [1/3], Step [11000/41412], Loss: 2.1891, Perplexity: 8.9271

[33.17s] Epoch [1/3], Step [12000/41412], Loss: 3.0420, Perplexity: 20.9479

[33.11s] Epoch [1/3], Step [13000/41412], Loss: 2.0890, Perplexity: 8.0771

[33.04s] Epoch [1/3], Step [14000/41412], Loss: 1.8143, Perplexity: 6.1367

[33.20s] Epoch [1/3], Step [15000/41412], Loss: 2.5709, Perplexity: 13.0770

[32.99s] Epoch [1/3], Step [16000/41412], Loss: 2.3354, Perplexity: 10.3334

[32.97s] Epoch [1/3], Step [17000/41412], Loss: 3.0006, Perplexity: 20.0973

[33.14s] Epoch [1/3], Step [18000/41412], Loss: 2.4404, Perplexity: 11.4777

[33.21s] Epoch [1/3], Step [19000/41412], Loss: 2.1977, Perplexity: 9.0041

[32.90s] Epoch [1/3], Step [20000/41412], Loss: 2.4683, Perplexity: 11.8025

[33.04s] Epoch [1/3], Step [21000/41412], Loss: 2.1094, Perplexity: 8.2434

